Day,Weather,Customers_Forecast,Meals_Prepared,Festival,Event_Type,Staff_Count,Avg_Rating,Special_Event,Surplus_Meals
Tuesday,Cloudy,165,212,No,Regular,13,4.73,0,44.7
Sunday,Cloudy,327,409,No,Regular,19,4.87,0,56.8
Saturday,Cloudy,639,751,No,Buffet,29,4.02,0,146.9
Friday,Sunny,438,550,No,Regular,24,4.09,0,76.9
Thursday,Sunny,416,516,No,Regular,20,4.03,0,55.5
Tuesday,Rainy,640,779,No,Buffet,32,3.23,0,253.0
Monday,Cloudy,554,621,No,Corporate,28,4.31,0,39.1
Sunday,Cloudy,557,769,No,Banquet,31,4.22,0,255.8
Thursday,Sunny,456,499,No,Corporate,19,4.55,0,13.2
Tuesday,Sunny,421,549,No,Buffet,25,4.56,1,155.6
Wednesday,Stormy,132,175,Diwali,Corporate,8,4.37,0,69.7
Friday,Cloudy,697,846,No,Banquet,33,4.38,0,192.4
Tuesday,Sunny,618,697,No,Regular,26,3.68,0,39.0
Saturday,Stormy,378,452,No,Regular,19,4.19,1,203.5
Saturday,Cloudy,459,585,No,Regular,22,3.52,0,93.2
Friday,Sunny,824,1042,No,Banquet,42,3.95,1,310.7
Thursday,Sunny,766,1035,No,Banquet,38,4.8,0,285.7
Friday,Cloudy,75,105,Diwali,Corporate,5,4.33,0,27.7
Friday,Sunny,120,147,No,Regular,11,4.24,0,20.7
Friday,Cloudy,586,744,No,Banquet,28,4.1,0,224.0
Monday,Cloudy,131,155,No,Regular,9,4.1,0,18.7
Wednesday,Sunny,601,739,Christmas,Regular,33,4.18,1,191.5
Monday,Stormy,569,737,Diwali,Buffet,30,4.15,1,393.5
Thursday,Sunny,380,456,No,Corporate,20,4.39,1,50.2
Wednesday,Sunny,364,439,No,Corporate,21,4.97,0,37.3
Tuesday,Cloudy,348,432,No,Regular,20,4.72,0,68.5
Monday,Cloudy,95,122,No,Regular,10,3.93,0,28.7
Friday,Sunny,621,770,No,Regular,34,3.86,0,108.7
Tuesday,Cloudy,343,406,Eid,Regular,19,3.9,0,57.4
Sunday,Rainy,320,374,No,Corporate,20,3.85,0,45.5
Friday,Rainy,386,494,Eid,Regular,19,3.39,0,162.7
Wednesday,Rainy,337,394,No,Regular,20,4.16,0,85.8
Friday,Sunny,741,919,Diwali,Regular,37,3.95,0,152.7
Monday,Sunny,215,276,No,Buffet,14,4.11,0,66.2
Sunday,Cloudy,184,229,No,Corporate,14,3.91,0,38.0
Thursday,Sunny,138,168,No,Regular,9,4.14,0,13.1
Saturday,Rainy,515,581,No,Regular,25,3.84,0,81.3
Monday,Sunny,113,164,Eid,Banquet,8,3.85,0,62.7
Thursday,Sunny,630,778,No,Buffet,33,4.96,0,212.4
Thursday,Sunny,490,632,New Year,Regular,24,3.6,0,135.5
Sunday,Sunny,577,665,Diwali,Regular,26,5.0,0,100.3
Friday,Sunny,572,758,No,Banquet,31,3.55,0,211.7
Thursday,Cloudy,365,472,No,Buffet,21,3.77,0,140.3
Tuesday,Cloudy,611,682,No,Regular,27,3.59,0,63.4
Wednesday,Sunny,547,641,No,Regular,27,3.96,1,104.8
Thursday,Sunny,168,226,No,Regular,15,2.7,0,50.3
Thursday,Rainy,216,275,No,Regular,11,4.53,0,76.3
Monday,Sunny,207,246,No,Regular,15,3.77,1,43.2
Saturday,Cloudy,412,491,No,Regular,23,4.25,0,54.6
Sunday,Cloudy,528,623,No,Regular,27,4.84,0,78.4
Tuesday,Cloudy,194,249,New Year,Regular,13,3.9,0,49.2
Thursday,Rainy,117,154,Diwali,Buffet,10,4.28,0,69.7
Monday,Cloudy,289,322,No,Regular,15,3.73,0,22.7
Friday,Stormy,390,421,No,Corporate,20,4.47,0,108.7
Wednesday,Rainy,456,527,No,Regular,20,4.26,0,129.0
Friday,Sunny,150,192,No,Corporate,8,3.59,0,25.6
Saturday,Sunny,789,1014,No,Banquet,41,4.69,1,303.2
Saturday,Sunny,270,366,No,Banquet,20,4.07,0,91.9
Monday,Sunny,236,271,No,Regular,11,4.05,1,33.3
Sunday,Cloudy,439,559,No,Regular,21,4.41,0,103.1
Tuesday,Sunny,153,212,No,Buffet,11,4.55,0,59.6
Monday,Sunny,396,486,No,Regular,23,3.69,0,63.9
Thursday,Sunny,88,126,No,Regular,11,4.51,0,24.3
Wednesday,Cloudy,189,233,No,Regular,10,4.14,0,33.7
Saturday,Cloudy,573,724,Christmas,Buffet,32,4.02,0,221.3
Saturday,Stormy,243,294,No,Corporate,16,3.85,0,93.0
Wednesday,Sunny,316,396,No,Regular,20,4.21,0,55.5
Sunday,Sunny,391,534,No,Banquet,24,3.53,0,162.5
Wednesday,Stormy,321,402,No,Corporate,21,3.77,0,136.9
Thursday,Cloudy,148,187,No,Regular,9,3.41,0,35.6
Tuesday,Cloudy,156,200,No,Regular,14,4.47,0,41.9
Sunday,Cloudy,758,890,No,Regular,37,4.19,0,82.5
Tuesday,Sunny,362,511,No,Banquet,24,4.22,0,147.8
Monday,Rainy,421,485,No,Corporate,23,3.93,0,65.8
Thursday,Cloudy,86,115,No,Buffet,6,4.04,1,29.3
Sunday,Cloudy,189,262,No,Buffet,13,4.04,0,67.2
Sunday,Cloudy,632,779,New Year,Regular,32,4.26,0,148.8
Saturday,Sunny,462,579,No,Banquet,25,3.48,1,198.3
Sunday,Sunny,407,541,New Year,Banquet,26,4.16,0,172.2
Sunday,Rainy,241,299,No,Buffet,12,4.31,0,93.5
Thursday,Cloudy,264,354,No,Buffet,19,4.33,0,88.5
Wednesday,Sunny,201,274,Eid,Regular,13,4.96,0,76.4
Saturday,Sunny,639,758,No,Regular,31,4.23,0,78.1
Friday,Rainy,739,868,No,Regular,36,4.49,1,185.6
Wednesday,Sunny,104,148,Christmas,Buffet,11,4.52,0,52.3
Monday,Sunny,131,172,No,Corporate,8,3.81,0,22.7
Saturday,Cloudy,728,1002,Christmas,Banquet,41,4.45,0,316.5
Tuesday,Rainy,576,712,No,Regular,29,3.31,0,147.9
Sunday,Cloudy,302,348,No,Regular,17,3.78,1,55.3
Tuesday,Rainy,554,678,No,Regular,28,4.41,1,165.1
Monday,Sunny,96,128,No,Banquet,7,3.65,0,31.6
Saturday,Rainy,541,633,Eid,Corporate,28,4.58,0,143.2
Tuesday,Rainy,735,974,No,Buffet,40,4.56,0,347.4
Tuesday,Cloudy,425,515,No,Buffet,22,4.3,0,98.0
Friday,Cloudy,588,761,Eid,Buffet,29,4.25,0,191.2
Sunday,Sunny,261,327,Eid,Regular,18,4.03,0,37.0
Tuesday,Sunny,521,620,No,Regular,25,4.2,0,56.9
Wednesday,Sunny,547,688,No,Regular,30,4.55,0,89.1
Saturday,Sunny,665,815,Christmas,Regular,33,4.61,0,143.5
Sunday,Stormy,798,985,No,Buffet,40,4.17,1,532.8
Thursday,Sunny,111,139,No,Regular,11,3.56,0,18.5
Tuesday,Cloudy,445,593,No,Buffet,27,4.0,0,157.7
Monday,Sunny,433,523,No,Buffet,23,4.23,0,88.3
Tuesday,Sunny,113,162,Christmas,Buffet,8,4.46,0,53.4
Monday,Sunny,742,927,No,Banquet,35,4.3,0,217.6
Friday,Sunny,215,273,No,Regular,13,4.67,0,18.7
Monday,Cloudy,375,462,No,Buffet,20,3.84,0,111.8
Thursday,Stormy,99,124,No,Regular,9,3.84,0,49.6
Friday,Sunny,760,995,No,Buffet,39,4.54,1,303.3
Friday,Stormy,247,340,Eid,Buffet,15,3.74,0,216.6
Tuesday,Cloudy,366,445,No,Regular,17,3.69,0,85.3
Saturday,Cloudy,437,548,No,Regular,26,4.15,0,88.9
Friday,Sunny,177,223,No,Buffet,9,4.44,0,60.3
Saturday,Sunny,816,1096,No,Buffet,44,4.22,0,305.8
Monday,Rainy,83,118,No,Buffet,9,3.02,0,53.8
Monday,Cloudy,445,521,No,Regular,22,4.06,0,60.8
Sunday,Sunny,240,326,No,Buffet,13,3.81,0,100.6
Wednesday,Rainy,497,656,No,Buffet,26,4.62,0,247.4
Wednesday,Sunny,197,232,No,Regular,12,3.48,0,25.5
Thursday,Rainy,600,805,No,Buffet,35,4.36,0,268.6
Friday,Sunny,571,712,Diwali,Buffet,32,4.13,0,191.2
Sunday,Rainy,476,593,Diwali,Corporate,24,4.23,1,181.7
Wednesday,Sunny,638,782,No,Regular,33,4.46,0,89.8
Sunday,Sunny,391,479,No,Regular,19,4.03,0,51.2
Monday,Cloudy,708,879,No,Banquet,35,4.16,0,236.1
Thursday,Sunny,485,587,No,Corporate,22,4.85,0,58.8
Friday,Stormy,307,371,No,Regular,17,4.54,0,100.3
Monday,Cloudy,344,426,No,Banquet,22,4.51,0,93.1
Tuesday,Sunny,475,610,No,Regular,23,4.5,0,82.2
Wednesday,Sunny,544,618,No,Corporate,25,4.92,0,38.4
Sunday,Rainy,91,115,No,Regular,8,4.36,0,34.7
Friday,Cloudy,161,203,No,Regular,12,4.17,0,37.0
Sunday,Rainy,279,340,No,Banquet,18,4.39,0,91.4
Saturday,Sunny,527,617,No,Regular,29,3.89,0,63.0
Thursday,Rainy,279,333,No,Corporate,16,4.48,0,69.2
Saturday,Cloudy,518,699,Christmas,Buffet,27,4.55,1,227.5
Monday,Cloudy,250,300,No,Regular,16,3.98,0,38.4
Monday,Sunny,438,613,No,Banquet,26,4.07,0,197.4
Saturday,Sunny,748,957,Diwali,Buffet,38,4.27,0,286.6
Saturday,Stormy,344,402,No,Corporate,19,3.86,0,139.8
Tuesday,Stormy,264,320,No,Corporate,15,3.69,0,108.7
Thursday,Sunny,90,125,No,Regular,6,4.02,0,18.3
Friday,Stormy,345,436,No,Regular,17,4.15,0,145.7
Sunday,Sunny,607,684,No,Regular,28,4.4,1,85.6
Friday,Sunny,211,292,No,Buffet,16,4.35,0,79.7
Wednesday,Sunny,270,338,Diwali,Regular,14,4.1,0,57.9
Wednesday,Sunny,231,273,No,Regular,13,4.36,0,38.3
Thursday,Sunny,308,373,No,Corporate,16,3.9,0,25.4
Friday,Sunny,657,746,No,Regular,32,3.49,0,59.3
Sunday,Sunny,810,1040,No,Buffet,44,4.04,0,223.5
Thursday,Cloudy,347,422,No,Buffet,22,4.23,0,97.7
Tuesday,Rainy,401,459,No,Regular,19,3.88,0,68.9
Tuesday,Cloudy,540,623,No,Regular,28,3.51,0,63.4
Saturday,Sunny,677,778,No,Regular,29,3.76,0,80.3
Saturday,Rainy,603,805,No,Buffet,31,3.61,0,266.4
Monday,Sunny,145,202,Diwali,Regular,14,3.55,0,51.6
Monday,Rainy,256,294,No,Corporate,15,4.15,0,57.4
Friday,Cloudy,249,306,No,Corporate,17,4.62,1,42.3
Tuesday,Sunny,460,533,No,Regular,25,4.14,0,37.4
Saturday,Sunny,216,272,Diwali,Corporate,14,4.62,0,43.2
Wednesday,Rainy,120,160,No,Banquet,8,3.03,0,58.6
Tuesday,Stormy,580,686,No,Regular,28,4.2,0,205.3
Sunday,Cloudy,221,330,New Year,Banquet,13,4.36,0,100.4
Tuesday,Stormy,519,624,No,Regular,28,3.8,0,199.8
Wednesday,Stormy,743,905,No,Buffet,35,3.75,0,402.4
Tuesday,Sunny,549,683,No,Regular,26,3.97,0,75.0
Monday,Cloudy,315,376,No,Corporate,19,4.5,0,20.1
Monday,Sunny,356,409,No,Corporate,19,3.63,0,25.5
Monday,Cloudy,674,876,New Year,Banquet,38,3.78,1,335.8
Tuesday,Sunny,271,363,No,Banquet,14,3.57,0,86.5
Monday,Stormy,312,411,No,Regular,20,4.37,0,141.2
Friday,Cloudy,413,557,No,Buffet,26,3.83,1,181.3
Friday,Sunny,271,316,No,Regular,14,4.08,0,31.5
Wednesday,Sunny,385,445,No,Regular,21,4.32,0,30.2
Wednesday,Sunny,310,404,Christmas,Regular,19,3.91,0,85.6
Thursday,Cloudy,108,134,No,Banquet,11,3.5,0,35.8
Sunday,Rainy,172,229,New Year,Buffet,10,4.33,1,96.0
Saturday,Sunny,529,586,No,Regular,27,4.36,0,26.9
Monday,Sunny,540,741,No,Banquet,31,4.79,0,202.3
Tuesday,Cloudy,505,602,No,Corporate,27,4.25,0,67.1
Tuesday,Sunny,108,147,No,Regular,9,4.15,0,28.2
Tuesday,Cloudy,306,411,No,Buffet,17,4.24,0,124.9
Friday,Sunny,422,529,No,Buffet,23,4.04,0,144.9
Wednesday,Sunny,552,692,No,Buffet,29,4.11,0,162.6
Monday,Sunny,383,524,No,Buffet,24,3.87,0,123.3
Wednesday,Rainy,415,576,No,Buffet,27,4.23,0,239.6
Thursday,Sunny,599,713,Eid,Regular,29,4.24,0,105.6
Monday,Sunny,82,118,No,Buffet,7,4.05,1,29.9
Saturday,Cloudy,706,847,No,Regular,36,3.72,0,114.4
Monday,Stormy,231,280,No,Regular,13,3.5,0,71.6
Sunday,Sunny,108,143,No,Regular,12,3.9,0,28.0
Monday,Sunny,446,542,No,Buffet,25,3.85,0,86.2
Saturday,Cloudy,229,269,No,Regular,16,3.95,0,21.0
Sunday,Sunny,589,655,No,Regular,28,3.93,0,41.0
Sunday,Cloudy,613,704,No,Regular,28,4.84,0,82.8
Saturday,Sunny,507,660,Diwali,Banquet,27,3.96,0,209.8
Saturday,Sunny,628,790,No,Regular,34,3.56,0,134.9
Friday,Sunny,210,256,No,Regular,11,4.13,0,34.1
Saturday,Cloudy,316,383,No,Regular,15,3.96,0,56.1
Monday,Sunny,122,171,No,Buffet,12,4.9,0,46.8
Thursday,Sunny,438,552,No,Regular,25,4.24,0,81.2
Thursday,Sunny,480,556,No,Regular,23,4.5,0,44.8
Saturday,Rainy,554,615,No,Corporate,26,4.13,0,86.0
Thursday,Sunny,250,277,No,Corporate,16,4.2,0,10.9
Wednesday,Cloudy,662,853,No,Buffet,35,3.9,1,271.2
Friday,Cloudy,640,801,Eid,Buffet,33,4.1,0,219.5
Tuesday,Sunny,559,791,Eid,Banquet,35,3.74,1,322.3
Monday,Stormy,273,368,No,Banquet,19,3.94,0,200.9
Thursday,Rainy,665,876,No,Buffet,34,4.25,0,319.9
Wednesday,Sunny,453,561,New Year,Corporate,23,4.28,1,117.6
Tuesday,Sunny,516,581,No,Corporate,22,4.21,0,36.6
Wednesday,Sunny,372,467,No,Banquet,22,3.86,0,106.1
Wednesday,Sunny,386,483,No,Regular,24,5.0,0,62.8
Wednesday,Cloudy,134,199,Christmas,Banquet,14,4.08,0,66.2
Wednesday,Rainy,496,682,No,Buffet,27,4.22,0,244.4
Friday,Rainy,526,644,No,Buffet,26,4.65,0,195.1
Wednesday,Sunny,541,648,No,Regular,30,3.73,1,102.6
Sunday,Sunny,593,670,No,Regular,29,4.04,0,49.8
Sunday,Sunny,698,798,No,Corporate,31,4.89,0,43.5
Thursday,Cloudy,727,933,No,Buffet,37,4.31,0,255.5
Wednesday,Sunny,163,209,No,Regular,10,4.45,0,37.9
Thursday,Stormy,755,950,No,Buffet,35,3.96,0,515.6
Saturday,Rainy,101,133,No,Regular,7,3.95,0,32.6
Friday,Sunny,480,601,No,Buffet,28,3.67,1,186.1
Saturday,Cloudy,880,1038,No,Buffet,42,4.96,0,243.3
Thursday,Cloudy,505,726,Diwali,Buffet,29,3.93,0,256.7
Friday,Rainy,776,968,No,Regular,40,3.55,0,226.3
Wednesday,Sunny,389,451,No,Regular,20,4.61,0,47.3
Saturday,Sunny,558,663,No,Regular,26,3.84,0,67.4
Tuesday,Cloudy,450,596,Christmas,Buffet,27,4.42,0,202.1
Friday,Sunny,950,1233,Eid,Banquet,48,4.4,0,428.9
Sunday,Cloudy,144,165,No,Corporate,7,4.56,0,7.0
Monday,Sunny,262,329,No,Corporate,13,3.53,0,31.9
Friday,Cloudy,551,684,No,Regular,29,4.28,0,97.1
Monday,Rainy,352,427,No,Regular,17,3.66,0,107.2
Saturday,Sunny,681,769,No,Corporate,29,4.14,0,44.1
Monday,Sunny,484,676,Diwali,Buffet,27,4.48,0,213.7
Sunday,Cloudy,169,203,No,Regular,14,3.4,0,21.4
Monday,Sunny,506,679,Christmas,Buffet,27,3.94,0,214.6
Sunday,Cloudy,359,420,No,Buffet,22,3.72,0,97.2
Saturday,Cloudy,409,518,Christmas,Regular,22,4.19,0,114.9
Friday,Sunny,135,180,New Year,Regular,11,3.65,1,50.5
Saturday,Rainy,828,1041,No,Buffet,40,4.41,0,349.0
Saturday,Cloudy,362,446,No,Regular,20,4.02,0,51.7
Sunday,Cloudy,645,779,No,Regular,30,4.1,0,84.6
Tuesday,Sunny,310,380,Eid,Corporate,19,4.22,0,53.0
Friday,Sunny,950,1239,No,Banquet,48,2.95,1,378.4
Monday,Sunny,274,344,No,Regular,18,3.67,0,45.5
Friday,Rainy,154,196,No,Regular,9,4.73,0,39.9
Tuesday,Rainy,410,531,No,Buffet,22,3.6,0,196.3
Thursday,Rainy,86,123,No,Regular,7,3.68,1,36.6
Friday,Sunny,579,646,No,Corporate,25,3.97,1,48.4
Thursday,Cloudy,718,916,New Year,Buffet,34,4.45,0,247.4
Thursday,Rainy,190,232,No,Regular,15,3.54,1,69.0
Saturday,Cloudy,106,138,Christmas,Corporate,9,4.01,0,24.1
Saturday,Sunny,612,764,No,Regular,33,4.63,0,87.0
Thursday,Rainy,559,757,Eid,Buffet,30,4.25,0,321.7
Friday,Sunny,890,1115,No,Banquet,42,3.7,0,228.9
Sunday,Sunny,480,598,No,Regular,26,4.55,1,100.7
Monday,Rainy,403,531,Diwali,Regular,22,3.98,0,151.1
Monday,Cloudy,201,239,No,Corporate,11,4.31,0,44.2
Monday,Sunny,299,395,No,Buffet,20,3.79,1,110.5
Friday,Cloudy,523,650,No,Regular,29,4.54,0,96.4
Wednesday,Stormy,609,739,No,Regular,31,3.98,0,277.6
Saturday,Sunny,297,381,No,Regular,16,4.21,0,39.8
Friday,Rainy,402,482,No,Buffet,24,3.35,0,121.1
Wednesday,Sunny,408,500,Christmas,Regular,24,4.75,0,82.7
Sunday,Sunny,115,143,No,Regular,7,4.67,0,17.8
Saturday,Sunny,538,664,No,Regular,28,3.62,0,89.4
Tuesday,Cloudy,174,227,No,Buffet,13,4.76,0,48.2
Wednesday,Sunny,416,492,No,Corporate,23,3.56,0,47.0
Wednesday,Sunny,699,901,No,Buffet,36,3.59,0,234.7
Tuesday,Cloudy,716,922,Diwali,Buffet,35,4.03,0,280.3
Tuesday,Cloudy,138,154,No,Corporate,8,4.2,0,3.6
Sunday,Cloudy,499,580,No,Regular,27,4.49,0,62.1
Thursday,Rainy,325,409,No,Regular,21,4.08,0,91.4
Wednesday,Sunny,351,406,No,Regular,18,3.67,0,51.9
Saturday,Sunny,566,674,No,Regular,28,4.57,0,69.5
Thursday,Cloudy,896,1116,No,Banquet,45,4.05,0,315.7
Sunday,Cloudy,482,612,No,Regular,25,4.39,0,86.6
Saturday,Sunny,422,470,No,Corporate,21,4.52,0,25.2
Thursday,Sunny,445,550,No,Regular,22,3.89,0,65.2
Wednesday,Sunny,359,442,No,Regular,20,4.02,1,69.0
Sunday,Sunny,324,414,No,Regular,20,4.39,0,43.3
Friday,Stormy,658,743,No,Regular,30,4.53,0,269.8
Sunday,Cloudy,544,602,No,Regular,25,3.87,0,54.5
Monday,Sunny,472,659,No,Buffet,30,4.11,0,180.1
Saturday,Cloudy,103,137,No,Buffet,8,3.54,0,54.9
Friday,Cloudy,245,300,No,Corporate,13,3.95,0,28.3
Monday,Sunny,306,394,No,Banquet,20,4.74,0,108.5
Friday,Sunny,643,869,No,Buffet,36,3.35,1,273.2
Friday,Cloudy,233,332,New Year,Banquet,16,4.88,0,100.2
Monday,Sunny,287,328,No,Regular,17,4.89,1,48.5
Thursday,Cloudy,330,395,No,Regular,21,3.62,0,44.3
Saturday,Cloudy,599,669,No,Regular,27,3.68,0,57.0
Wednesday,Rainy,180,220,No,Buffet,10,4.13,0,59.6
Thursday,Stormy,500,647,No,Buffet,25,3.95,1,417.8
Thursday,Rainy,459,546,No,Buffet,26,4.57,0,147.4
Wednesday,Cloudy,445,528,New Year,Corporate,24,4.45,0,58.6
Sunday,Sunny,207,259,No,Regular,14,4.09,0,41.2
Saturday,Cloudy,450,500,No,Corporate,24,3.57,1,54.6
Monday,Rainy,367,446,No,Buffet,17,4.01,0,140.4
Sunday,Stormy,315,383,No,Buffet,20,5.0,0,179.3
Sunday,Rainy,132,162,No,Regular,11,4.22,1,41.7
Wednesday,Sunny,287,349,No,Regular,15,4.73,0,45.1
Saturday,Cloudy,389,449,No,Regular,20,4.28,0,41.8
Monday,Rainy,86,114,Diwali,Corporate,10,4.86,0,35.1
Sunday,Cloudy,776,996,Eid,Buffet,42,4.1,0,289.9
Friday,Cloudy,565,688,No,Regular,26,4.64,1,111.9
Friday,Cloudy,272,307,No,Corporate,14,4.54,0,9.6
Monday,Cloudy,112,166,No,Buffet,10,4.16,0,64.4
Sunday,Sunny,805,973,No,Banquet,36,4.17,0,245.9
Monday,Sunny,96,129,No,Buffet,7,3.51,1,44.7
Tuesday,Rainy,375,501,No,Buffet,23,3.97,0,203.8
